52
88.7889 954.949 -2553.6 1
128.092 1028.41 -2509.85 0
148.564 1094.23 -2472.72 1
171.103 1164.81 -2438.19 0
159.958 1281.9 -2387.4 1
190.118 1453.5 -2311.9 0
156.085 1512.45 -2289.3 1
139.125 1591.97 -2253.67 0
114.379 1680.92 -2200.95 1
88.6817 1750.25 -2153.5 0
46.5873 1817.1 -2107.78 1
23.8347 1905.12 -2060.9 0
12.3625 1997.89 -2013.41 1
36.9252 2109.62 -1965.84 0
22.753 2238.18 -1900.13 1
25.31 2289.16 -1873.87 0
12.9072 2365.67 -1831.38 1
42.0692 2495.07 -1757.51 0
53.848 2592.87 -1709.82 1
87.6928 2696.38 -1665.02 0
117.844 2811.12 -1617.22 1
93.0994 2895.65 -1571.91 0
46.9443 2974.55 -1536.27 1
73.3159 3056.25 -1490.66 0
107.599 3151.77 -1435.38 1
156.355 3215.77 -1404.4 0
198.214 3303.84 -1365.07 1
240.29 3387.17 -1320.44 0
237.736 3468.11 -1281.95 1
259.653 3549.45 -1239.89 0
278.456 3645.17 -1195.49 1
302.772 3756.5 -1140.59 0
337.565 3916.05 -1061 1
362.914 4019.34 -1002.34 0
381.391 4116.78 -950.847 1
433.395 4210.61 -902.637 0
459.849 4320.89 -846.131 1
481.742 4416.36 -798.898 0
480.602 4537.41 -740.748 1
482.81 4632.07 -694.821 0
452.89 4811.11 -601.541 1
427.107 4916.95 -546.234 0
370.521 5088.51 -457.214 1
393.345 5218.56 -391.284 0
411.936 5365.28 -323.506 1
462.588 5513.56 -258.003 0
455.063 5614.79 -183.028 1
418.198 5673.07 -128.872 0
370.101 5750.01 -66.4954 1
353.445 5848.3 -18.5924 0
309.141 5925.68 -2.63837 1
261.464 5959.08 0.895705 0
